,date,predictions
199,2017-07-19,73.10138
200,2017-07-20,73.10335
201,2017-07-21,73.12451
202,2017-07-22,73.16139
203,2017-07-23,73.19407
204,2017-07-24,73.203514
205,2017-07-25,73.17833
206,2017-07-26,73.10852
207,2017-07-27,72.991714
208,2017-07-28,72.8241
209,2017-07-29,72.6063
210,2017-07-30,72.35146
211,2017-07-31,72.080696
212,2017-08-01,71.82114
213,2017-08-02,71.60652
214,2017-08-03,71.46194
215,2017-08-04,71.4013
216,2017-08-05,71.42374
217,2017-08-06,71.51807
218,2017-08-07,71.66839
219,2017-08-08,71.859474
220,2017-08-09,72.07728
221,2017-08-10,72.3051
222,2017-08-11,72.51973
223,2017-08-12,72.69791
224,2017-08-13,72.81943
225,2017-08-14,72.87463
226,2017-08-15,72.85083
227,2017-08-16,72.73514
228,2017-08-17,72.51943
229,2017-08-18,72.21086
230,2017-08-19,71.83368
231,2017-08-20,71.429344
232,2017-08-21,71.04978
233,2017-08-22,70.744736
234,2017-08-23,70.55335
235,2017-08-24,70.49249
236,2017-08-25,70.55672
237,2017-08-26,70.717926
238,2017-08-27,70.93748
239,2017-08-28,71.17411
240,2017-08-29,71.3967
241,2017-08-30,71.58754
242,2017-08-31,71.73612
243,2017-09-01,71.84357
244,2017-09-02,71.91531
245,2017-09-03,71.95639
246,2017-09-04,71.968216
247,2017-09-05,71.947655
248,2017-09-06,71.88724
249,2017-09-07,71.78013
250,2017-09-08,71.62475
251,2017-09-09,71.42721
252,2017-09-10,71.20271
253,2017-09-11,70.97423
254,2017-09-12,70.76867
255,2017-09-13,70.60893
256,2017-09-14,70.496765
257,2017-09-15,70.403885
258,2017-09-16,70.28329
259,2017-09-17,70.08753
260,2017-09-18,69.78888
261,2017-09-19,69.38456
262,2017-09-20,68.89995
263,2017-09-21,68.38306
264,2017-09-22,67.88842
265,2017-09-23,67.46059
266,2017-09-24,67.11868
267,2017-09-25,66.857956
268,2017-09-26,66.66117
269,2017-09-27,66.50616
270,2017-09-28,66.369484
271,2017-09-29,66.227806
272,2017-09-30,66.06052
273,2017-10-01,65.852974
274,2017-10-02,65.60428
275,2017-10-03,65.32406
276,2017-10-04,65.0265
277,2017-10-05,64.72657
278,2017-10-06,64.43069
279,2017-10-07,64.13647
280,2017-10-08,63.834892
281,2017-10-09,63.51061
282,2017-10-10,63.1481
283,2017-10-11,62.73895
284,2017-10-12,62.289787
285,2017-10-13,61.819996
286,2017-10-14,61.35321
287,2017-10-15,60.90765
288,2017-10-16,60.498066
289,2017-10-17,60.1324
290,2017-10-18,59.81698
291,2017-10-19,59.552437
292,2017-10-20,59.33205
293,2017-10-21,59.141094
294,2017-10-22,58.962444
295,2017-10-23,58.784542
296,2017-10-24,58.59887
297,2017-10-25,58.394882
298,2017-10-26,58.158146
299,2017-10-27,57.876507
300,2017-10-28,57.55016
301,2017-10-29,57.193756
302,2017-10-30,56.829475
303,2017-10-31,56.48379
304,2017-11-01,56.188324
305,2017-11-02,55.973103
306,2017-11-03,55.85478
307,2017-11-04,55.823746
308,2017-11-05,55.844494
309,2017-11-06,55.86733
310,2017-11-07,55.848797
311,2017-11-08,55.76031
312,2017-11-09,55.588043
313,2017-11-10,55.329548
314,2017-11-11,54.99477
315,2017-11-12,54.604897
316,2017-11-13,54.176243
317,2017-11-14,53.712696
318,2017-11-15,53.21217
319,2017-11-16,52.680916
320,2017-11-17,52.143143
321,2017-11-18,51.641403
322,2017-11-19,51.22432
323,2017-11-20,50.926605
324,2017-11-21,50.756573
325,2017-11-22,50.695133
326,2017-11-23,50.701164
327,2017-11-24,50.716827
328,2017-11-25,50.673656
329,2017-11-26,50.50794
330,2017-11-27,50.18237
331,2017-11-28,49.695625
332,2017-11-29,49.07343
333,2017-11-30,48.36015
334,2017-12-01,47.610344
